Field Name,Field Label,View Type,View Type Name,Description,Input to GPT,New Description
BCContactType,Billing Contact Type,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,This field can be edited from the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.,"Field Name: BCContactType, Field Label: Billing Contact Type, View Type, 1, Description: This field can be edited from the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.","{
    ""Field Name"": ""BCContactType"",
    ""View Type"": 1,
    ""Description"": ""The Billing Contact Type report field refers to the type of contact associated with billing for a project. This field can be edited from the PROJECT dashboard's CLIENT 'Contact(s) page. It reports on the specific type of contact, such as primary billing contact, secondary billing contact, or other relevant designations. This field is used to track and manage the different billing contacts associated with a project, enabling efficient communication and billing processes.""
}"
BCCountry,Billing Country,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,,"Field Name: BCCountry, Field Label: Billing Country, View Type, 1, Description: NULL","{
    ""Field Name"": ""BCCountry"",
    ""View Type"": 1,
    ""Description"": ""The 'Billing Country' report field represents the country associated with the billing address for client transactions. It reports on the geographic location of clients for billing purposes, providing insight into the distribution of billing activities across different countries. This field would be used to analyze revenue generation, taxation, and compliance with international billing regulations.""
}"
BCEMail,Billing Contact Email,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Billing contact's email address,"Field Name: BCEMail, Field Label: Billing Contact Email, View Type, 1, Description: Billing contact's email address","{
    ""Field Name"": ""BCEMail"",
    ""View Type"": 1,
    ""Description"": ""The BCEMail field reports the billing contact's email address. It is used to easily identify and reach out to the billing contact for any inquiries or communication related to billing and invoicing.""
}"
BCFirstNm,Billing Contact First Name,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,First Name of the <WC@VOCAB>CLIENT</WC@VOCAB> contact that is listed as this <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact.  You can find/edit a <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact information from the dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.,"Field Name: BCFirstNm, Field Label: Billing Contact First Name, View Type, 1, Description: First Name of the <WC@VOCAB>CLIENT</WC@VOCAB> contact that is listed as this <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact.  You can find/edit a <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact information from the dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.","{
        ""Field Name"": ""BCFirstNm"",
        ""View Type"": 1,
        ""Description"": ""The BCFirstNm report field contains the first name of the billing contact associated with a specific project. This field reports on the first name of the client contact designated as the billing contact for the project. It is used to identify and display the first name of the billing contact for a project, allowing users to view and edit the billing contact's information from the dashboard's client contact(s) page.""
}"
BCFullNm,Billing Contact FullName,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,First+Last Name of the <WC@VOCAB>CLIENT</WC@VOCAB> contact that is listed as this <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact.  You can find/edit a <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact information from the dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.,"Field Name: BCFullNm, Field Label: Billing Contact FullName, View Type, 1, Description: First+Last Name of the <WC@VOCAB>CLIENT</WC@VOCAB> contact that is listed as this <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact.  You can find/edit a <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact information from the dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.","{
    ""Field Name"": ""BCFullNm"",
    ""View Type"": 1,
    ""Description"": ""The BCFullNm field represents the first and last name of the billing contact for a specific project. This field reports on the contact information for the client designated as the billing contact for the project. It is used to easily identify and access the billing contact's information for invoicing and communication purposes.""
}"
BCLastNm,Billing Contact Last Name,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Last Name of the <WC@VOCAB>CLIENT</WC@VOCAB> contact that is listed as this <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact.  You can find/edit a <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact information from the dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.,"Field Name: BCLastNm, Field Label: Billing Contact Last Name, View Type, 1, Description: Last Name of the <WC@VOCAB>CLIENT</WC@VOCAB> contact that is listed as this <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact.  You can find/edit a <WC@VOCAB>PROJECT</WC@VOCAB>'s billing contact information from the dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.","{
    ""Field Name"": ""BCLastNm"",
    ""View Type"": 1,
    ""Description"": ""The 'Billing Contact Last Name' field reports the last name of the CLIENT contact designated as the billing contact for this PROJECT. It is used to track and manage billing contact information for projects, and can be edited from the CLIENT's 'Contact(s)' page in the dashboard.""
}"
BCPhone,Billing Contact's Phone,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,This field can be edited from the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.,"Field Name: BCPhone, Field Label: Billing Contact's Phone, View Type, 1, Description: This field can be edited from the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.","{
    ""Field Name"": ""BCPhone"", ""View Type"": 1, ""Description"": ""The BCPhone field represents the billing contact's phone number. It can be edited from the PROJECT dashboard's CLIENT 'Contact(s) page. This field is useful for tracking and easily accessing the billing contact's phone information for communication and invoicing purposes.""
}"
BCPhone_2,Billing Contact's Phone_2,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,This field can be edited from the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.,"Field Name: BCPhone_2, Field Label: Billing Contact's Phone_2, View Type, 1, Description: This field can be edited from the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard's <WC@VOCAB>CLIENT</WC@VOCAB>'Contact(s) page.","{
    ""Field Name"": ""BCPhone_2"",
    ""View Type"": 1,
    ""Description"": ""This field 'Billing Contact's Phone_2' contains the secondary phone number of the billing contact. It can be edited from the PROJECT dashboard's CLIENT 'Contact(s) page. It is useful for maintaining accurate and multiple contact details for billing purposes within the professional services firm.""
}"
BCState,Billing State,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,,"Field Name: BCState, Field Label: Billing State, View Type, 1, Description: NULL","{
    ""Field Name"": ""BCState"", ""View Type"": 1, ""Description"": ""The BCState report field represents the billing state associated with a specific client or project. It reports on the state (or province) where the billing address is located for the client or project. This information can be useful for tax purposes, regional billing analysis, and compliance with local regulations. Users can use this field to filter and group billing data based on state, allowing for targeted analysis and reporting."" 
}"
BCTitle,Billing Contact Title,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Billing contact's title,"Field Name: BCTitle, Field Label: Billing Contact Title, View Type, 1, Description: Billing contact's title","{
    ""Field Name"": ""BCTitle"", ""View Type"": 1, ""Description"": ""This report field, labeled as 'Billing Contact Title', captures the title of the billing contact associated with a client or project. It provides information about the professional title or position held by the billing contact, which can be used for internal communication, addressing correspondence, or understanding the level of authority of the contact within the client organization.""
}"
BCZip,Billing Zip,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,,"Field Name: BCZip, Field Label: Billing Zip, View Type, 1, Description: NULL","{
    ""Field Name"": ""BCZip"", ""View Type"": 1, ""Description"": ""The BCZip field represents the billing zip code associated with client invoices. It reports on the zip codes used for billing purposes and can be used to analyze billing patterns, identify regional billing trends, and ensure accurate invoicing for clients in different geographical locations. This information is crucial for understanding the geographic distribution of billing activity and can help in optimizing billing processes and client communication.""
}"
ChgBill,Total Billable Charges (Hours*Rate),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Total Billable Charges (Hours*Rate),"Field Name: ChgBill, Field Label: Total Billable Charges (Hours*Rate), View Type, 1, Description: Total Billable Charges (Hours*Rate)","{
    ""Field Name"": ""ChgBill"", 
    ""View Type"": 1, 
    ""Description"": ""The ChgBill report field represents the total billable charges, which is calculated by multiplying the hours worked by the billable rate. This field is used to report on the total billable charges for a specific time period, project, or client. It is helpful for tracking billable hours and revenue generation in professional service firms.""
}"
ChgCost,Total Cost (Input Hours*CostRate),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Total Cost (Input Hours*CostRate),"Field Name: ChgCost, Field Label: Total Cost (Input Hours*CostRate), View Type, 1, Description: Total Cost (Input Hours*CostRate)","{
    ""Field Name"": ""ChgCost"", ""View Type"": 1, ""Description"": ""The ChgCost report field calculates the total cost by multiplying the input hours by the cost rate. This field provides valuable insight into the total cost incurred for a project or task based on the input hours worked and the applicable cost rate. It is commonly used to track project expenses and analyze the cost effectiveness of different tasks or projects.""
}"
ChgIN,Total Input Charges (Hours*Rate),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Total Input Charges (Hours*Rate),"Field Name: ChgIN, Field Label: Total Input Charges (Hours*Rate), View Type, 1, Description: Total Input Charges (Hours*Rate)","{
    ""Field Name"": ""ChgIN"",
    ""View Type"": 1,
    ""Description"": ""The ChgIN field represents the total input charges, calculated by multiplying the hours worked by the applicable billing rate. This field provides a comprehensive view of the input charges incurred for a specific project or time period. It is used to track and analyze the total input charges and billing amounts for accurate client invoicing and project cost assessments.""
}"
ChgNonBill,Total Non-Billable Charges (Hours*Rate),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Total Non-Billable Charges (Hours*Rate),"Field Name: ChgNonBill, Field Label: Total Non-Billable Charges (Hours*Rate), View Type, 1, Description: Total Non-Billable Charges (Hours*Rate)","{
    ""Field Name"": ""ChgNonBill"", 
    ""View Type"": 1, 
    ""Description"": ""The ChgNonBill report field represents the total non-billable charges, calculated by multiplying the hours worked with the respective rate. This field is used to track and measure the non-billable activities of the professional service firm, providing insights into resource utilization and identifying areas for improvement in optimizing billable hours.""
}"
ChgUBFee,Total Unbilled Time (Charges),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Total Unbilled Time Charges (submitted time only).,"Field Name: ChgUBFee, Field Label: Total Unbilled Time (Charges), View Type, 1, Description: Total Unbilled Time Charges (submitted time only).","{
    ""Field Name"": ""ChgUBFee"",
    ""View Type"": 1,
    ""Description"": ""ChgUBFee represents the total unbilled time charges, specifically reporting on the submitted time that has not yet been billed. This report field is valuable for monitoring outstanding time charges that have not been invoiced, allowing for better cash flow management and ensuring that all billable time is captured and accounted for in the billing process.""
}"
CliAddr,<V>CLIENT</V> Address,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,<WC@VOCAB>CLIENT</WC@VOCAB> Main Address.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).,"Field Name: CliAddr, Field Label: <V>CLIENT</V> Address, View Type, 1, Description: <WC@VOCAB>CLIENT</WC@VOCAB> Main Address.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).","{
    ""Field Name"": ""CliAddr"",
    ""View Type"": 1,
    ""Description"": ""The CliAddr report field represents the main address of the client. It is used to track and display the primary address of the client associated with a project. This information can be edited within the project dashboard, specifically on the client's General Info page. This field is helpful for managing project-related communications and logistics.""
}"
CliAddr_Full,Full Address (Address+CSZ),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"<WC@VOCAB>CLIENT</WC@VOCAB> Main Address (Address + City, State Zip).  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).","Field Name: CliAddr_Full, Field Label: Full Address (Address+CSZ), View Type, 1, Description: <WC@VOCAB>CLIENT</WC@VOCAB> Main Address (Address + City, State Zip).  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).","{
    ""Field Name"": ""CliAddr_Full"", ""View Type"": 1, ""Description"": ""This report field represents the full address of the client, including the address, city, state, and zip code. It is used to display the main address of the client in the project dashboard and the client's general info page. This information is crucial for ensuring accurate communication and location details for client-related activities and project management.""
}"
CliCd,<V>CLIENT</V> Code/ID,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,This is the <WC@VOCAB>CLIENT</WC@VOCAB>'s code as listed in the <WC@VOCAB>CLIENT</WC@VOCAB> page for this <WC@VOCAB>PROJECT</WC@VOCAB>.,"Field Name: CliCd, Field Label: <V>CLIENT</V> Code/ID, View Type, 1, Description: This is the <WC@VOCAB>CLIENT</WC@VOCAB>'s code as listed in the <WC@VOCAB>CLIENT</WC@VOCAB> page for this <WC@VOCAB>PROJECT</WC@VOCAB>.","{
    ""Field Name"": ""CliCd"",
    ""View Type"": 1,
    ""Description"": ""The CliCd field represents the code or ID associated with a specific client. It is used to identify and reference a client in the context of a project. This field reports on the unique client code or ID as listed in the client page for the project. It is used to maintain accurate client information and to link client-specific data to the appropriate project.""
}"
CliCity,<V>CLIENT</V> City,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Pulled from the <WC@VOCAB>CLIENT</WC@VOCAB>'s Main Address.,"Field Name: CliCity, Field Label: <V>CLIENT</V> City, View Type, 1, Description: Pulled from the <WC@VOCAB>CLIENT</WC@VOCAB>'s Main Address.","{
    ""Field Name"": ""CliCity"",
    ""View Type"": 1,
    ""Description"": ""CliCity reports the city of the client's main address. It is pulled from the client's main address information and can be used to analyze the geographical distribution of clients, identify location-specific client needs, and generate targeted marketing strategies for different regions.""
}"
CliCountry,<V>CLIENT</V> Country,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Pulled from the <WC@VOCAB>CLIENT</WC@VOCAB>'s Main Address.,"Field Name: CliCountry, Field Label: <V>CLIENT</V> Country, View Type, 1, Description: Pulled from the <WC@VOCAB>CLIENT</WC@VOCAB>'s Main Address.","{
    ""Field Name"": ""CliCountry"",
    ""View Type"": 1,
    ""Description"": ""The CliCountry report field represents the country associated with the client. This information is pulled from the client's main address and provides an important reference for categorizing and analyzing clients based on their geographical location. This field is particularly useful for generating insights related to client distribution, regional trends, and compliance with international regulations.""
}"
CliCurrency,Default Currency,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"If you are set to use the multi-currency features in BigTime, then this field indicates the default currency code you've selected for the <WC@VOCAB>CLIENT</WC@VOCAB> to which this <WC@VOCAB>PROJECT</WC@VOCAB> belongs.","Field Name: CliCurrency, Field Label: Default Currency, View Type, 1, Description: If you are set to use the multi-currency features in BigTime, then this field indicates the default currency code you've selected for the <WC@VOCAB>CLIENT</WC@VOCAB> to which this <WC@VOCAB>PROJECT</WC@VOCAB> belongs.","{
    ""Field Name"": ""CliCurrency"",
    ""View Type"": 1,
    ""Description"": ""The CliCurrency field, labeled as Default Currency, reports on the default currency code selected for the client associated with the project. This field is used when utilizing the multi-currency features in BigTime to accurately track financial transactions in the client's default currency.""
}"
CliMainFax,Main Fax,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,<WC@VOCAB>CLIENT</WC@VOCAB> Main fax number.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).,"Field Name: CliMainFax, Field Label: Main Fax, View Type, 1, Description: <WC@VOCAB>CLIENT</WC@VOCAB> Main fax number.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).","{
    ""Field Name"": ""CliMainFax"",
    ""View Type"": 1,
    ""Description"": ""The CliMainFax report field refers to the main fax number for the client. It is used to store and display the primary fax contact information for the client. This information can be edited in the client's General Info page within the project dashboard. It is useful for communication and documentation purposes within the professional service firm.""
}"
CliMainPh,Main Phone,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,<WC@VOCAB>CLIENT</WC@VOCAB> Main phone number.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).,"Field Name: CliMainPh, Field Label: Main Phone, View Type, 1, Description: <WC@VOCAB>CLIENT</WC@VOCAB> Main phone number.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).","{
    ""Field Name"": ""CliMainPh"",
    ""View Type"": 1,
    ""Description"": ""This report field 'Main Phone' is the primary phone number for a client. It reports on the main contact number for a client and can be edited in the project dashboard, specifically within the client's General Info page. This field would be used to quickly identify and access the main contact phone number for a client.""
}"
CliNm,<V>CLIENT</V> Name,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,<WC@VOCAB>CLIENT</WC@VOCAB> Name.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).,"Field Name: CliNm, Field Label: <V>CLIENT</V> Name, View Type, 1, Description: <WC@VOCAB>CLIENT</WC@VOCAB> Name.  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).","{
    ""Field Name"": ""CliNm"",
    ""View Type"": 1,
    ""Description"": ""The CliNm report field represents the name of the client associated with the project. This field reports on the specific client's name and can be edited within the PROJECT dashboard on the client's General Info page. It is used to track and manage client information for projects and related activities.""
}"
CliNm_legal,<V>CLIENT</V> Legal Name,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,<WC@VOCAB>CLIENT</WC@VOCAB> Legal Name (an alternate name for invoicing or for generating estimates).  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).,"Field Name: CliNm_legal, Field Label: <V>CLIENT</V> Legal Name, View Type, 1, Description: <WC@VOCAB>CLIENT</WC@VOCAB> Legal Name (an alternate name for invoicing or for generating estimates).  You can edit this value in the <WC@VOCAB>PROJECT</WC@VOCAB> dashboard (in the <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page).","{
    ""Field Name"": ""CliNm_legal"",
    ""View Type"": 1,
    ""Description"": ""This report field represents the legal name of the client. It is an alternate name used for invoicing or generating estimates. The value for this field can be edited in the PROJECT dashboard within the CLIENT's General Info page. It is useful for maintaining accurate and formal client information for billing and contractual purposes.""
}"
CliNt,<V>CLIENT</V> Notes,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,This is the notes field for the <WC@VOCAB>CLIENT</WC@VOCAB>. It's found in the dashboard under <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page.,"Field Name: CliNt, Field Label: <V>CLIENT</V> Notes, View Type, 1, Description: This is the notes field for the <WC@VOCAB>CLIENT</WC@VOCAB>. It's found in the dashboard under <WC@VOCAB>CLIENT</WC@VOCAB>'s General Info page.","{
    ""Field Name"": ""Client"",
    ""View Type"": 1,
    ""Description"": ""This field contains notes specific to the client and is located in the dashboard under the client's General Info page. This is where users can input additional information, comments, or details related to the client for reference and record-keeping purposes.""
}"
CliState,<V>CLIENT</V> State,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Pulled from the <WC@VOCAB>CLIENT</WC@VOCAB>'s Main Address.,"Field Name: CliState, Field Label: <V>CLIENT</V> State, View Type, 1, Description: Pulled from the <WC@VOCAB>CLIENT</WC@VOCAB>'s Main Address.","{
    ""Field Name"": ""CliState"",
    ""View Type"": 1,
    ""Description"": ""The CliState report field captures the state information for the client, which is pulled from the client's main address. It provides a way to track and report on the geographical location of the client, which can be useful for regional analysis, compliance reporting, and communication purposes within the professional services industry.""
}"
CliStatus,<V>CLIENT</V> Status Code,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,,"Field Name: CliStatus, Field Label: <V>CLIENT</V> Status Code, View Type, 1, Description: NULL","{
    ""Field Name"": ""CliStatus"",
    ""View Type"": 1,
    ""Description"": ""The CliStatus field represents the status code for clients in the system. It reports on the current status of clients, providing information on whether they are active, inactive, or have a different status. This field is used to track and manage the status of clients, allowing users to quickly identify and take appropriate actions based on the client's status.""
}"
